id	string	label
pos_1	every now and then a movie comes along from a suspect studio , with every indication that it will be a stinker , and to everybody's surprise ( perhaps even the studio ) the film becomes a critical darling .  mtv films' _election , a high school comedy starring matthew broderick and reese witherspoon , is a current example .  did anybody know this film existed a week before it opened ?  the plot is deceptively simple .  george washington carver high school is having student elections .  tracy flick ( reese witherspoon ) is an over-achiever with her hand raised at nearly every question , way , way , high .  mr . " m " ( matthew broderick ) , sick of the megalomaniac student , encourages paul , a popular-but-slow jock to run .  and paul's nihilistic sister jumps in the race as well , for personal reasons .  the dark side of such sleeper success is that , because expectations were so low going in , the fact that this was quality stuff made the reviews even more enthusiastic than they have any right to be .  you can't help going in with the baggage of glowing reviews , which is in contrast to the negative baggage that the reviewers were likely to have .  _election , a good film , does not live up to its hype .  what makes _election_ so disappointing is that it contains significant plot details lifted directly from _rushmore_ , released a few months earlier .  the similarities are staggering :  tracy flick ( _election_ ) is the president of an extraordinary number of clubs , and is involved with the school play .  max fischer ( _rushmore_ ) is the president of an extraordinary number of clubs , and is involved with the school play .  the most significant tension of _election_ is the potential relationship between a teacher and his student .  the most significant tension of _rushmore_ is the potential relationship between a teacher and his student .  tracy flick is from a single parent home , which has contributed to her drive .  max fischer is from a single parent home , which has contributed to his drive .  the male bumbling adult in _election_ ( matthew broderick ) pursues an extramarital affair , gets caught , and his whole life is ruined .  he even gets a bee sting .  the male bumbling adult in _rushmore_ ( bill murray ) pursues an extramarital affair , gets caught , and his whole life is ruined .  he gets several bee stings .  and so on .  what happened ?  how is it that an individual screenplay ( _rushmore_ ) and a novel ( _election_ ) contain so many significant plot points , and yet both films were probably not even aware of each other , made from two different studios , from a genre ( the high school geeks revenge movie ) that hadn't been fully formed yet ?  even so , the strengths of _election_ rely upon its fantastic performances from broderick , witherspoon , and newcomer jessica campbell , as paul's anti-social sister , tammy .  broderick here is playing the mr . rooney role from _ferris bueller_ , and he seems to be having the most fun he's had since then .  witherspoon is a revelation .  it's early in the year , it's a comedy , and teenagers have little clout , but for my money , witherspoon deserves an oscar nomination .  and once campbell's character gets going , like in her fantastic speech in the gymnasium , then you're won over .  one thing that's been bothering me since i've seen it .  there is an extraordinary amount of sexuality in this film .  i suppose that , coming from mtv films , i should expect no less . . .  but the film starts off light and airy , like a sitcom .  as the screws tighten , and the tensions mount , alexander payne decides to add elements that , frankly , distract from the story .  it is bad enough that mr . m doesn't like tracy's determination to win at all costs , but did they have to throw in the student/teacher relationship ?  even so , there's no logical reason why mr . m has an affair when he does .  there's a lot to like in _election_ , but the plot similarities to _rushmore_ , and the tonal nosedive it takes as it gets explicitly sex-driven , mark this as a disappointment .  	positive
pos_2	you've got mail works alot better than it deserves to .  in order to make the film a success , all they had to do was cast two extremely popular and attractive stars , have them share the screen for about two hours and then collect the profits .  no real acting was involved and there is not an original or inventive bone in it's body ( it's basically a complete re-shoot of the shop around the corner , only adding a few modern twists ) .  essentially , it goes against and defies all concepts of good contemporary filmmaking .  it's overly sentimental and at times terribly mushy , not to mention very manipulative .  but oh , how enjoyable that manipulation is .  but there must be something other than the casting and manipulation that makes the movie work as well as it does , because i absolutely hated the previous ryan/hanks teaming , sleepless in seattle .  it couldn't have been the directing , because both films were helmed by the same woman .  i haven't quite yet figured out what i liked so much about you've got mail , but then again , is that really important ?  if you like something so much , why even question it ?  again , the storyline is as cliched as they come .  tom hanks plays joe fox , the insanely likeable owner of a discount book chain and meg ryan plays kathleen kelley , the even more insanely likeable proprietor of a family-run children's book shop called , in a nice homage , the shop around the corner .  fox and kelley soon become bitter rivals because the new fox books store is opening up right across the block from the small business .  little do they know , they are already in love with each other over the internet , only neither party knows the other person's true identity .  the rest of the story isn't important because all it does is serve as a mere backdrop for the two stars to share the screen .  sure , there are some mildly interesting subplots , but they all fail in comparison to the utter cuteness of the main relationship .  all of this , of course , leads up to the predictable climax .  but as foreseeable as the ending is , it's so damn cute and well-done that i doubt any movie in the entire year contains a scene the evokes as much pure joy as this part does .  when ryan discovers the true identity of her online love , i was filled with such , for lack of a better word , happiness that for the first time all year , i actually left the theater smiling .  	positive
pos_4	moviemaking is a lot like being the general manager of an nfl team in the post-salary cap era -- you've got to know how to allocate your resources .  every dollar spent on a free-agent defensive tackle is one less dollar than you can spend on linebackers or safeties or centers .  in the nfl , this leads to teams like the detroit lions , who boast a superstar running back with a huge contract , but can only field five guys named herb to block for him .  in the movies , you end up with films like " spawn " , with a huge special-effects budget but not enough money to hire any recognizable actors .  jackie chan is the barry sanders of moviemaking .  he spins and darts across the screen like sanders cutting back through the defensive line .  watching jackie in operation condor as he drives his motorcycle through the crowded streets of madrid , fleeing an armada of pursuers in identical black compact cars , is reminiscent of sanders running for daylight with the chicago bears in hot pursuit , except that sanders doesn't have to worry about rescuing runaway baby carriages .  but like the lions star , jackie doesn't have anybody to block for him .  almost every cent that's invested in a jackie chan movie goes for stunts , and as chan does his own stunts , the rest of the money goes to pay his hospital bills .  this leaves about 75 cents to pay for things like directors ( chan directs ) , scripts and dubbing and supporting characters , not to mention the hideous title sequence .  this also explains why the movie was shot in odd places like morocco and spain .   ( chan's first release in this country , " rumble in the bronx " , was supposedly set in new york , but was filmed in vancouver , and in the chase scenes the canadian rockies are clearly visible . )  heck , jackie doesn't even have enough money for a haircut , looks like , much less a personal hairstylist .  in condor , chan plays the same character he's always played , himself , a mixture of bruce lee and tim allen , a master of both kung-fu and slapstick-fu .  jackie is sent by the un to retrieve a cache of lost nazi gold in the north african desert , and is chased by a horde of neo-nazi sympathizers and two stereotypical arabs ( one of the things i like about jackie chan movies : no political correctness ) .  he is joined by three women , who have little to do except scream , " jackie , save us ! " , and misuse firearms .  the villain is an old nazi whose legs were broken in the secret base so that he has to be carried everywhere , and he's more pathetic than evil .  en route , we have an extended motorcycle chase scene , a hilarious fight in the moroccan version of motel 6 with the neo-nazis , and two confrontations with savage natives .  once at the secret desert base , there is a long chop-socky sequence , followed by the film's centerpiece , a wind-tunnel fight that's even better than the one in face/off .  this is where the money was spent , on well-choreographed kung-fu sequences , on giant kevlar hamster balls , on smashed-up crates of bananas , and on scorpions .  ignore the gaping holes in the plot ( how , exactly , if the villain's legs were broken , did he escape from the secret nazi base , and why didn't he take the key with him ? ) .  don't worry about the production values , or what , exactly , the japanese girl was doing hitchhiking across the sahara .  just go see the movie .  operation condor has pretentions of being a " raiders of the lost ark " knockoff , but one wonders what jackie could do with the raiders franchise blocking for him -- with a lawrence kazdan screenplay , a john williams score , spielberg directing and george lucas producing , condor might be an a+ movie .  however , you've got to go with what you've got , and what you've got in jackie chan is something special -- a talent that mainstream hollywood should , could , and ought to utilize .  	positive
pos_5	on june 30 , 1960 , a self-taught , idealistic , yet pragmatic , young man became , at age 36 , the first head of government of a newly independent african state , formerly the belgian congo .  two months later , he was ousted from his powerful position and hunted by government troops until he was captured and brutally murdered along with two aides .  this little-known story of this meteoric rise and fall is told my international filmmaker raoul peck in " lumumba . "  patrice lumumba's ( eriq ebouaney ) story has been told previously by helmer peck in his 1991 award winning documentary , " lumumba - death of a prophet , " virtually guaranteeing that his new , fictional account of a patriot remains true to its subject .  peck , with co-writer pascal bonitzer , begins at the end of the story of the young political leader .  we watch as two white men perform the gruesome task of dismembering the bodies of three black men .  images of hatchets , saws and fast-emptying whiskey bottles accompany the grisly image .  jump back a few years to a meeting among the black leaders in the belgian-owned congo .  a third class postal worker , lumumba , speaks his mind to heads of the most powerful tribes , proclaiming himself not tribal , not regional , but a national leader .  his small , mobile party , the congolese national movement ( mnc ) is gaining prominence and patrice leaves his clerical job to sell beer , and get his face known , in the bustling capital , stanleyville .  at a time when the colonial empires are falling down around the world , lumumba is in the right place at the right time and , through political savvy and chess-like manipulation , achieves a position of leadership of the mnc .  as the date for independence approaches , he tactically positions himself to be the new nation's first prime minister and defense minister , supporting the presidency of joseph kasa vubu ( maka kotto ) .  the coalition he created soon starts to fall apart as the former belgian masters continue to exert influence on the struggling nation as they strive to maintain economic hold on the country's vast natural resources of copper , diamonds , gold and more .  lumumba won't seek the help of the us , knowing that they would try to create de facto american control of the fledgling government .  his initial investigation into soviet assistance immediately tags patrice as a communist and his integrity is overshadowed by the cold war threat of russian domination .  the situation goes from bad to worse as the army mutinies , the remaining whites begin to evacuate or arm themselves , belgian troops violently intervene , the lucrative katanga province succeeds under the leadership of rival moise tschombe ( pascal nzonzi ) and lumumba is refused access to his own country when he returns from a conference abroad .  this tumultuous and little known period of modern african history saw a score of nations struggling for independence from the sometimes-odious colonialists who have ruled much of the world from their european seats of power for centuries .  peck focuses his story on familiar material that strives to give an honest portrayal of patrice lumumba , his friend and foes and the independence movements that gripped africa in the 50's and 60's .   ( during the time the story takes place , many new nations , including nigeria and somalia , were born , with varying degrees of success and failure , usually dependent upon which country colonized them .  some colonial masters were better than others . )  the effort involved in " lumumba " is quite ambitious as peck and his crew before and behind the camera strive to bring to life this slice of world history that might have gone unexplored for decades , if at all .  production values are first rate on what must be a small , by us standards , budget .  the period feel and realistic african settings are nicely maintained in a production that traveled from zimbabwe to mozambique .  the screenplay covers a lot of ground and does yeoman's work in providing a great deal of detailed history while trying to do justice to the story of lumumba's life .  the political side of things is evenly told in a linear , straightforward manner that teaches , not preaches .  it concentrates on the good deeds of the man , if a bit as a stalwart saint , but doesn't embellish on a larger than life persona .  the family side of patrice's life is handled in several , perfunctory and brief interludes that show him talking to one of his children , embracing his wife or lamenting the death of his child .  i know the intent is to flesh the man out , but too short a shrift is given to the family man side of lumumba .  the story , as such , has a lopsided feel about it .  high marks go to eriq ebouaney as the title character .  the actor gives a convincing , charismatic performance as the multifaceted , politically deft patrice lumumba who has the good of his people and his country as the force driving his own ambitions .  in true docudrama tradition , the supporting cast does not outshine the star , complementing his good efforts , instead .   " lumumba " is a solid , interesting , educational and honest docudrama that should appeal to film buffs and politicos , both .  it has more intelligence in its telling than anything i've seen out of hollywood for months and i give it a b+ .  	positive
pos_7	one of my colleagues was surprised when i told her i was willing to see betsy's wedding .  and she was shocked to hear that i actually liked it .  her reaction was understandable when you consider that the film revolves around molly ringwald , who hasn't made a worthwhile film since 1986 .  but the fact is , betsy's wedding is also an alan alda film .  and while ringwald has been making duds for the last four years , alda has been involved with several noteworthy projects , including crimes and misdemeanors and a new life .  written and directed by alda , betsy's wedding is a vibrant slice-of-life , mixing a few dramatic moments into a big bowl of whimsical humor .  alda's comic elixir is smooth and refreshing--and a welcome change of pace from the usual summer fare .  as bride and groom , molly ringwald and dylan walsh are the pivotal characters in the film , but they are by far the least interesting .  walsh is a nonentity , with all the screen presence of a door knob .  ringwald is simply unbearable and is easily the weakest link in the chain .  she looks hideous with her short-cropped orange hair , red lip-stick and grotesque outfits .  she's supposed to be a dress designer , but she looks more like a clown .  and to make matters worse , ringwald's performance matches her appearance .  thankfully , alda keeps ringwald's screen time to a minimum ; he is far more interested in the colorful periphery characters .  the wedding is just a device to bring together the bride's working-class , italian family and the groom's rich , gentile family .  ringwald's folks are homey and down-to-earth , with alda as her free-spirited father , madeline kahn as her practical mother , and ally sheedy as her lonely sister .  walsh's clan , on the other hand , is prim , proper and ostentatious .  when the two families meet and mingle , the movie becomes a story of culture clash , or as one character puts it , " money versus values . "  ally sheedy , in a wonderfully understated performance , is one of the film's most pleasant surprises .  sheedy expresses more with just her eyes than ringwald does with her entire body .  it's anthony lapaglia , however , who seizes the spotlight .  lapaglia plays stevie dee , a suave , overly polite mafioso who is formally courting sheedy with old-fashioned chivalry .  lapaglia's sincere but dim-witted character is a riot .  and what's uncanny is that lapaglia is a dead ringer for robert de niro , with a little bit of alec baldwin thrown in for good measure .  lapaglia seems to have attended the de niro school of gangster acting , and his inspired performance is partly a tribute to his role-model and partly a rip-off .  i don't know whether to say a star is born or a star is re-born , but i do know that lapaglia's over-the-top performance should not be missed .  the scrumptious comic acting , however , extends well beyond sheedy and lapaglia .  joe pesci , in particular , sinks his teeth into his role as alda's unscrupulous brother-in-law , a slum lord with mob ties , who is cheating on his wife ( catherine o'hara ) .  alda , faced with challenge of both directing and acting , somehow finds just the right comic touch as the bride's financially-strapped father , a carpenter whose dreams are bigger than his wallet .  the film adopts alda's psychological point of view as he tries to one : plan the wedding , and two : pay for it .  as a filmmaker , alda's style of humor is remarkably restrained and tasteful .  and while he doesn't have the comic genius of a woody allen , alda does possess the inspiration to make movies which are ten times more entertaining than the slop which usually passes for comedy .  	positive
pos_9	the american action film has been slowly drowning to death in a sea of asian wire-fu copycats .  it's not a pretty death , and it's leaving the likes of schwartznager , stallone , and van damme wearing cement galoshes at the bottom of a kung fu sea .  sometimes , the mix results in a mind-blowing spectacle unlike any other .  quality action with amazing and exciting stunt work , as in 1999's the matrix , can be a real gem .  but too often hollywood gets it wrong , even when they pay off chinese directors .  flying ninjas and floating karate masters have been replaced by soaring bronx detectives and slow motion kicking scientists .  mostly it's laughable .  in hollywood's rush to emulate the success of the matrix , trademark asian stunt choreography has become more of a joke than an art form .  but iron monkey , the latest asian import , shows us how to get it right .  iron monkey ( actually a reissue of a 1993 film ) is the story of a 19th chinese vigilante ( rongguang yu ) , fighting with his own unique style of shaolin kung fu for the rights of the oppressed and the bellies of the hungry .  but it is also a piece of the narrative of legendary chinese film hero wong fei-hong , most recently seen in one of the most overlooked , and possibly best films of 2000 , drunken master 2 ( released in the u . s . as the legend of drunken master ) .  unlike drunken master 2 , which stars jackie chan as an adult fei-hong , iron monkey finds a much younger fei-hong ( sze-man tsang ) and his father wong kei-ying ( yen chi dan ) thrust into the middle of iron monkey's fight against oppression .  iron monkey succeeds as no kung fu film since drunken master 2 . at times , fighting styles , especially that of monkey himself , do devolve into the ridiculous twinkle-toed floating of films like crouching tiger , hidden dragon , director yuen wo ping eventually remembers to bring his action scenes back to earth .  iron monkey is at its heart a hardcore , kung fu action film rather than any kind of drama a la crouching tiger .  however , there are brief moments of profoundness shared between characters , such as those that pass between our outlaw hero and his good-hearted but misguided enemy , chief fox .  in those moments , and in others , iron monkey manages to transcend its mindless kung fu nature to touch the hearts and minds of its audience .  while in no way the equal of a masterpiece like drunken master 2 , iron monkey dances quite nicely to the invading kung fu tune .  aka siunin wong fei-hung tsi titmalau .  	positive
pos_10	after watching " rat race " last week , i noticed my cheeks were sore and realized that , when not laughing aloud , i had held a grin for virtually all of the film's 112 minutes .  saturday night , i attended another sneak preview for the movie and damned if i didn't enjoy it as much the second time as the first .   " rat race " is a great goofy delight , a dandy mix of energetic performances , inspired sight gags and flat-out silliness .  hands down , this is the most fun film of the summer .  the movie begins with zippy retro-style opening credits that look like they were torn straight out of a '60s slapstick comedy , featuring animated photos of the cast attached to herky-jerky bodies bounding around the screen .  then comes the setup .  donald sinclair ( john cleese ) , the extremely rich owner of the venetian hotel and casino in las vegas , enjoys concocting unusual bets for his high rolling clients .  to that end , he places a half dozen very special tokens in his slot machines .  gathering together the lucky token holders , he explains , " today you have a chance to play a game where the odds of winning are one in six . "  the competition is simple : each contestant gets a key that opens a locker in silver city , n . m . , containing $2 million in cash .  there is a transmitter in every key , so that sinclair and his cronies can keep track of who is ahead .  the race has no rules ? whichever contestant reaches the locker first gets the money .  since it would be wrong to spoil any of the jokes , let's use the next few paragraphs to profile the racers .  decked out in flashy , trashy clothing and sporting big hair , vera baker ( whoopi goldberg ) is in town to reunite with the daughter she gave up for adoption as a baby .  she finds that grown-up merrill ( lanai chapman ) is erudite , conservative and more than a little bit wary of this stranger trying to jump into her life .  thrown together , it becomes clear that both women share a fierce competitive nature .  owen templeton ( cuba gooding jr . ) is currently the most hated man in america .  an nfl referee , he cost gamblers all over the country enormous amounts of money by blowing a call in a high-profile game .  after escaping from a vengeful cab driver , owen gets to new mexico by masquerading as the driver for a busload of lucy ricardo impersonators heading to a convention .  mr . pollini ( rowan atkinson ) is a cheerful , odd little italian man on holiday in america .  he also is narcoleptic and falls asleep at the most inopportune times .  pollini hitches a ride with zack ( wayne knight ) , a hyper-tense ambulance driver carrying a human heart across country for a transplant operation .  randy pear ( jon lovitz ) promised his wife beverly ( kathy najimy ) and two kids a fun-filled vacation in las vegas .  fearful that beverly will be angry over his involvement in the race , he claims that he must travel to silver city for a job interview .  beverly insists the family stay together , so they hop in the mini-van and tear off into the desert .  brothers duane ( seth green ) and blaine ( vince vieluf ) cody are young , crooked and stupid .  blaine has a speech impediment due to his poorly self-done tongue piercing , and duane is the only person who can come close to understanding him .  the boys will stop at nothing to reach their goal .  finally , nick shaffer ( breckin meyer ) is a no-nonsense lawyer-in-training who recruits helicopter pilot tracy faucet ( amy smart ) for the journey .  at first glance , they seem blandly wholesome , but all that changes when tracy buzzes the home of her boyfriend shawn ( dean cain ) and spies him swimming with another woman .  director jerry zucker ( " airplane , " " ghost " ) leaps from racer to racer , periodically returning to las vegas where sinclair and mr . grisham ( dave thomas ) , his personality-impaired right hand man , continue cooking up bizarre bets for the gamblers .  as with any zucker production , a few jokes fall flat , but the momentum of the comedy zooms past those missteps .  high points for me include a bit involving kathy bates as a roadside squirrel salesperson and an intricately set up gag that carries jon lovitz and family from a bizarre museum to an outdoor rally , with an utterly tasteless and screamingly funny pay-off .  had i been part of the filmmaking team , i would have ditched a joke where a key is dropped into a baby's clothes and instead had the key get lost in the cleavage of a dozing society matron .  it would have drawn the same laugh without the squirm-inducing hint of child molestation .  i also would have selected a different band for a concert sequence .  my god , do we really need yet another movie with smash mouth performing " all star ? "  but enough carping .   " rat race " is a riot , with terrific no-holds-barred performances from the diverse cast .  see it , see it again and when the dvd comes out , buy it , because a movie this hilarious will surely have outtakes to die for .  	positive
pos_11	i've noticed something lately that i've never thought of before .  pseudo- substance - hollywood faking deep meanings in their films .  have you ever seen a movie that you really enjoyed , then when you look back , you realize there was something missing ?  more and more , filmmakers seem to be putting out well rehearsed , melodramatic films that evoke strong connotations of being a great film , but if you step aside and reflect on your movie going experience , you may just discover nothing more than elegantly presented fluff .  i'm not trying to say city of angels is that bad .  it had a lot going for it , but somewhere along the way , it faltered .  somehow , underneath the seemingly poetic beauty of it all , there was a gigantic hole somebody covered with iridescent performances and glossy cinematography .  the predictable ending that shattered our hopes ( even though we saw it coming ) only added to the disappointment .  but for over an hour , city of angels is well worth the time .  nicolas cage is seth , a guardian angel who , like hundreds ( likely thousands or even millions ) of other angels , spends eternity watching over the citizens of mortality ; humans never aware of how much celestial intervention occurs in their life .  meg ryan , in her most subdued performance yet , plays maggie , a doctor who begins to ponder exactly who it is we're fighting against when we fight to keep someone alive .  after losing a patient on the surgery table , these questions envelope maggie , and seth , the angel who was there to oversee the patient's transition into the afterlife , is immediately captivated by the doctor .  he begins following and observing maggie , falling more and more in love with her everyday .  angels , who we quickly learn are not and never were humans , can not experience human sensations such as taste and touch , but they do have the ability to make themselves seen to anyone they desire .  seth's adoration is too much to resist , and eventually he does appear to maggie , quite regularly , although such a thing seems taboo among the angelic community .  the angels are interestingly presented , all of them dressed in black and more reminiscent of hitmen than traditional glowing white entities , but it's a nice touch that never seems like a mere attempt at uniqueness .  cage is a wonderfully versatile actor ( think face/off , raising arizona , and it could happen to you - what a combo ! ) who slips into the role of a heavenly agent quite nicely but threatens sappiness more than once .  it's nice to see ryan pick up roles like this and the one in courage under fire .  the two aren't very comparable to each other , but they both deviate from her usual " intelligently ditzy " romantic comedy roles , and it's an impressive side of ryan movie goers rarely have the chance to enjoy .  but even though the two leads do an impressive job , it is dennis franz who grabs us with his interpretation of a hospital patient who knows more than meets the eye .  it's a shame that with so much going for it , city of angels falters so much in its final stages , leaving us with the realization that an emotionally incredible movie was out there , they just didn't know quite how to get to it .  they struggle for an impacting conclusion and wind up with painful thud rather than an exhilarating high .  filmmakers should know your final impression will be the one you linger on , remember , and convey to others thru word of mouth , so after telling us for 60+ minutes that this film is a glorious masterpiece , they sure leave us with a disheartening taste of mediocrity in our mouths .  based on the german film wings of desire ( that being the english title , of course ) , city of angels is ninety percent success , enough to make most people forgive its shortcomings , even the devastatingly disappointing ending .  most movie goers , the non-cynics anyway , will be too wrapped up in the surreal atmosphere to give criticism to that which needs to be criticized .  nonetheless , city of angels is beautifully captivating , which is probably enough to satisfy those poetic viewers who will appreciate a delve into rich emotional territories .  	positive
pos_13	synopsis : in this movie , steven spielberg , one of today's finest directors , attempts to spice up the 1800s story of a long courtroom battle over the fate of prisoner cinque ( djimon hounsou ) - - a young angry man from sierra leone who was kidnapped into slavery - - and his fellow prisoners .  cinque and friends have landed a ship on the shores of america after escaping spanish slave traders , but since the americans don't speak cinque's language , the black men are hauled into court to determine whether or not they are legally slaves .  technically , since the international slave trade was outlawed at that time , people like cinque couldn't be kidnapped into slavery ; one had to be born a slave to be legally considered a slave .  lawyers baldwin and adams ( matthew mcconaughey and anthony hopkins ) must prove cinque and the others were captured into slavery , rather than born slaves , in order to get them out of prison as free men .  three lengthy court cases are portrayed with spielberg's trademark panache - - flashy beginning , lots of facial close-ups , big music , and dramatic imagery .  a final speech by adams is followed by an anticlimax where subtitles show what eventually happened to the various characters .  opinion : making a fictional movie is easier than making one about real life .  in fiction , one invents purposeful , clear-cut good guys and bad guys , puts the fictional characters in conflict , and takes the tale to its exciting conclusion .  real life , however , consists of long stretches of boredom with a few dramatic moments and characters who stand around , think thoughts and do nothing , or come and go before events are resolved .  spielberg gives us a visually spicy and historically accurate real life story .  djimon hounsou and anthony hopkins turn in excellent performances .  	positive
pos_14	the police negotiator is the person with the entirely unenviable job of going into ground zero and attempting to talk a dangerous criminal out of doing whatever he or she intends to do .  lives are often at stake , and the criminal is usually armed and most likely mentally unstable , prone to turn on the negotiator at a moment's notice .  the negotiator must therefore be something of an actor , psychologist , and sham artist , in addition to being a police officer ; he must be able to think on his feet and either work toward the goal of ending the confrontation without violence , or failing that , must be prepared to facilitate the conclusion of the crisis through firepower .  most of all , the negotiator must be able to enter a situation with as little intelligence about the scenario as possible , and quickly gain control of the situation , dominate the conversation , and influence the perpetrator into thinking that the end of the conflict is what he really wants .  it takes a pretty smart person to do that .  but what if the hostage-holding criminal is just as smart ?  what if he's also able to think on his feet ?  in fact , what if he also knows all the tricks to turning the situation to his favor ?  it is this circumstance which forms the basis for f . gary gray's the negotiator .  in this film , police negotiator danny roman ( samuel l . jackson ) is tipped off by his partner to corruption within the chicago police force .  when his partner turns up shot to death and internal affairs finds incriminating evidence in roman's home , roman becomes the prime suspect of both embezzling from the police disability fund and murder .  faced with the scorn of most of the police department , and under close scrutiny by the media , roman is forced to turn in his badge in one of those typical scenes in the captain's office .  i don't quite remember if the captain actually said , " i hate to do this , but . . . " ,  although it wouldn't surprise me if he did .  luckily , the film soon shakes off the conventionalism and concentrates on the interesting premise mentioned above .  after being offered a take-it-or-leave-it deal by the district attorney , roman resolves to prove his innocence by walking into the office of internal affairs inspector niebaum ( j . t .  walsh ) , taking him and others hostage , and proclaiming he has been framed .  although roman's actions seem forced due to the compressed nature of his motivational build-up , gray redeems himself by involving us with the negotiations between roman and fellow police negotiator chris sabian ( kevin spacey ) which soon ensue .  jackson , while a superb actor , is miscast in the role of roman .  the actor has become so popular , and so often identified as a protagonist ( notable exceptions can be found , such as in jackie brown ) , that we as an audience have a difficult time believing he will carry out his threats .  the script also clearly sets him up as the good guy who is only trying to prove his innocence .  how can we believe he's going to shoot a hostage , no matter if the hostage tried to kill him earlier ?  unfortunately , this preconception saps the film of some of it's would-be suspenseful moments , and anything good left in those scenes is largely attributed to jackson's acting ability .  almost every time he's in a scene , jackson steals it without looking back .  when spacey appears , the film has already run about a third of its course .  his is an interesting character .  made out to be some kind of negotiating superman , our first look at him has him hopelessly trying to get his family moving to set out on vacation .   " i can talk a man out of blowing up the sears tower , but i can't talk my wife out of the bedroom or my daughter off the phone , " he says .  when he gets the call to action , however , he quickly changes gears and becomes the man we expect him to be .  soon , his character has to negotiate not only with roman , but also with the swat commander ( david morse ) who is itching to send in a team to take roman out , all the while keeping wary of the fbi agents who are waiting to take over the operation , should negotiations fail .  this complex set of pressures are reflected well in sabian the negotiator and spacey the actor .  as the second protagonist , spacey measures up nicely .  gray really lucked out with this cast .  david morse as commander beck , ron rifkin as commander frost , and john spencer as police chief al travis are all more than competent , and can hold their own in scenes with jackson and spacey .  the only problem is the bit of typecasting that results from these choices : morse played a similar role in the rock , rifkin played the d . a .  in l . a . confidential , and spencer played a police detective in cop land .  with the level of acting , however , this can be forgiven .  also in the supporting cast , paul giamatti as rudy , one of the hostages , is notable for the comic relief he provides .  his character is initially so slimy , and giamatti himself just looks so shifty , that you expect to laugh before he even says anything .  fortunately , this doesn't distract from the seriousness of the rest of the film , but instead provides some nice breathers from the level of tension which gray manages to sustain throughout .  j . t . walsh , as the suspicious internal affairs inspector , clocks in with one of his final performances .  sadly , the talented but underrated actor passed away in late february of this year , and the soon to be released pleasantville will mark his last film .  walsh appeared in dozens of movies such as good morning vietnam , backdraft , and nixon .  for one of his best performances , check out sling blade , in which he plays a mental patient sharing a ward with billy bob thornton .  when jack nicholson accepted his best actor oscar in march , walsh was one of the men to whom he credited his success ( the actors performed together in a few good men ) .  the negotiator is actually dedicated to walsh , and while inspector niebaum may not have been his best role , it certainly characterizes the type of character for which walsh had become most famous for playing .  in the end , the negotiator has a plotline that parallels it's reality .  we're served with the premise that two equally deft negotiators are battling each other to resolve the conflict in the manner which will suit each of them best .  as an audience , we're also given a situation where two wonderfully talented actors are thrown into a movie , and we'd like to see if one will dominate the film .  both provide some pretty good entertainment .  	positive
