id	string	label
pos_0	films adapted from comic books have had plenty of success , whether they're about superheroes ( batman , superman , spawn ) , or geared toward kids ( casper ) or the arthouse crowd ( ghost world ) , but there's never really been a comic book like from hell before .  for starters , it was created by alan moore ( and eddie campbell ) , who brought the medium to a whole new level in the mid '80s with a 12-part series called the watchmen .  to say moore and campbell thoroughly researched the subject of jack the ripper would be like saying michael jackson is starting to look a little odd .  the book ( or " graphic novel , " if you will ) is over 500 pages long and includes nearly 30 more that consist of nothing but footnotes .  in other words , don't dismiss this film because of its source .  if you can get past the whole comic book thing , you might find another stumbling block in from hell's directors , albert and allen hughes .  getting the hughes brothers to direct this seems almost as ludicrous as casting carrot top in , well , anything , but riddle me this : who better to direct a film that's set in the ghetto and features really violent street crime than the mad geniuses behind menace ii society ?  the ghetto in question is , of course , whitechapel in 1888 london's east end .  it's a filthy , sooty place where the whores ( called " unfortunates " ) are starting to get a little nervous about this mysterious psychopath who has been carving through their profession with surgical precision .  when the first stiff turns up , copper peter godley ( robbie coltrane , the world is not enough ) calls in inspector frederick abberline ( johnny depp , blow ) to crack the case .  abberline , a widower , has prophetic dreams he unsuccessfully tries to quell with copious amounts of absinthe and opium .  upon arriving in whitechapel , he befriends an unfortunate named mary kelly ( heather graham , say it isn't so ) and proceeds to investigate the horribly gruesome crimes that even the police surgeon can't stomach .  i don't think anyone needs to be briefed on jack the ripper , so i won't go into the particulars here , other than to say moore and campbell have a unique and interesting theory about both the identity of the killer and the reasons he chooses to slay .  in the comic , they don't bother cloaking the identity of the ripper , but screenwriters terry hayes ( vertical limit ) and rafael yglesias ( les mis ? rables ) do a good job of keeping him hidden from viewers until the very end .  it's funny to watch the locals blindly point the finger of blame at jews and indians because , after all , an englishman could never be capable of committing such ghastly acts .  and from hell's ending had me whistling the stonecutters song from the simpsons for days ( " who holds back the electric car/who made steve guttenberg a star ? " ) .  don't worry - it'll all make sense when you see it .  now onto from hell's appearance : it's certainly dark and bleak enough , and it's surprising to see how much more it looks like a tim burton film than planet of the apes did ( at times , it seems like sleepy hollow 2 ) .  the print i saw wasn't completely finished ( both color and music had not been finalized , so no comments about marilyn manson ) , but cinematographer peter deming ( don't say a word ) ably captures the dreariness of victorian-era london and helped make the flashy killing scenes remind me of the crazy flashbacks in twin peaks , even though the violence in the film pales in comparison to that in the black-and-white comic .  oscar winner martin childs' ( shakespeare in love ) production design turns the original prague surroundings into one creepy place .  even the acting in from hell is solid , with the dreamy depp turning in a typically strong performance and deftly handling a british accent .  ians holm ( joe gould's secret ) and richardson ( 102 dalmatians ) log in great supporting roles , but the big surprise here is graham .  i cringed the first time she opened her mouth , imagining her attempt at an irish accent , but it actually wasn't half bad .  the film , however , is all good .  2 : 00 - r for strong violence/gore , sexuality , language and drug content  	positive
pos_3	 " jaws " is a rare film that grabs your attention before it shows you a single image on screen .  the movie opens with blackness , and only distant , alien-like underwater sounds .  then it comes , the first ominous bars of composer john williams' now infamous score .  dah-dum .  from there , director steven spielberg wastes no time , taking us into the water on a midnight swim with a beautiful girl that turns deadly .  right away he lets us know how vulnerable we all are floating in the ocean , and once " jaws " has attacked , it never relinquishes its grip .  perhaps what is most outstanding about " jaws " is how spielberg builds the movie .  he works it like a theatrical production , with a first act and a second act .  unlike so many modern filmmakers , he has a great deal of restraint , and refuses to show us the shark until the middle of the second act .  until then , he merely suggests its presence with creepy , subjective underwater shots and williams' music .  he's building the tension bit by bit , so when it comes time for the climax , the shark's arrival is truly terrifying .  he doesn't let us get bored with the imagery .  the first act opens with police chief martin brody ( roy scheider ) , a new york cop who has taken an easy , peaceful job running the police station on amity island , a fictitious new england resort town where there hasn't been a murder or a gun fired in 25 years .  the island is shaken up by several vicious great white shark attacks right before the fourth of july , and the mayor , larry vaughn ( murray hamilton ) , doesn't want to shut down the beaches because the island is reliant on summer tourist money .  brody is joined by matt hooper ( richard dreyfuss ) , a young , ambitious shark expert from the marine institute .  hooper is as fascinated by the shark as he is determined to help brody stop it -- his knowledge about the exact workings of the shark ( " it's a perfect engine , an eating machine " ) make it that much more terrifying .  when vaughn finally relents , hooper and brody join a crusty old shark killer named quint ( robert shaw ) on his decrepit boat , the orca , to search for the shark .  the entire second act takes place on the orca as the three men hunt the shark , and inevitably , are hunted by it .   " jaws " is a thriller with a keen sense of humor and an incredible sense of pacing , tension , and horror .  it is like ten movies all rolled into one , and it's no wonder it took america by storm in the summer of 1975 , taking in enough money to crown it the box office champ of all time ( until it was unceremoniously dethroned in 1977 by " star wars " ) .  even today , fascination with this film is on par with hitchcock's " psycho , " and it never seems to age .  although grand new technology exists that makes the technical sequences , including several mechanical sharks , obsolete , none of it could improve the film because it only would lead to overkill .  the technical limitations faced by spielberg in 1975 may have actually produced a better film because it forced him to rely on traditional cinematic elements like pacing , characterization , sharp editing , and creative photography , instead of simply dousing the audience with digital shark effects .  scheider , dreyfuss , and shaw were known actors at the time " jaws " was made , but none of them had the draw of a robert redford or paul newman .  nevertheless , this film guaranteed them all successful careers because each gave an outstanding performance and refused to be overshadowed by the shark .  scheider hits just the right notes as a sympathetic husband and father caught in the political quagmire of doing what's right and going against the entire town .   " it's your first summer here , you know , " mayor vaughn warns him .  dreyfuss , who had previously been seen in " american graffiti " ( 1973 ) and " the apprenticeship of duddy kravitz " ( 1974 ) gives a surprisingly mature , complex performance for someone who had literally only played kids and teenagers .  however , most outstanding is the gnarled performance by robert shaw as the movie's captain ahab , a performance sorely overlooked by the academy awards .  bordering of parody , shaw plays quint as a grizzled old loner whose machismo borders on masochism .  he's slightly deranged , and shaw's performance is almost a caricature .  however , there is one scene late in the film , when he and brody and hooper are below deck on the orca comparing scars .  quint is drawn into telling the story of his experiences aboard the u . s . s .  indianapolis , a navy ship in world war ii that was sunk by the japanese .  his tale of floating in the water for more than a week with over 1 , 000 other men while swarms of sharks slowly devoured them them is actually more hair-raising than anything spielberg put on screen .  shaw delivers the story in one long take , and it is the best acting in the film .  of course , we can't leave out the shark itself ; with its black eyes , endless rows of teeth , and insatiable urge to eat , it is basically the epitome of all mankind's fears about what is unknown and threatening in nature .  a shark is such a perfect nemesis it is real -- having survived sinch the dinosaurs , great whites do exist , they can be as large as the shark in " jaws , " and they are a threat .  every one of spielberg's subjective underwater shots makes us feel queasy because lets us see how we look to the shark : a bunch of writihing , dangling , completely unprotected legs just ready to be chomped into .  the shark in " jaws " was actually a combination of actual footage and five different mechanical sharks ( all nicknamed " bruce " by the crew ) built to be shot from different angles .  many have forgotten , but " jaws " was a sort of precursor to " waterworld " ( 1995 ) , a movie's who soggy production and cost overruns had universal studios worried about a bomb .  but , as we can see now , spielberg overcame all the obstacles , and delivered one of the finest primal scare-thrillers ever to come out of hollywood .  	positive
pos_6	apparently , director tony kaye had a major battle with new line regarding his new film , american history x . i don't know the details of the fight , but it seems that he is not happy with the final product , and nearly removed his name from the credits altogether .  i've heard about this kind of thing happening before , and it makes me wonder how much input a studio has over the films they produce .  as it is , i found american history x to be an extremely good film , not just because of tony kaye's focused look at the touchy subject of racism , but because of a powerful , charismatic performance from edward norton .  it's hard to believe that it has only been two years since norton's fantastic role in primal fear , but , here he is now , starring in his own film and making himself a star .  norton is one of those performers who becomes his character , and his work in american history x is one of the very best performances this year .  he plays a young man named derek vinyard , a skinhead living in venice beach with his brother , danny ( edward furlong ) , mother ( beverly d'angelo ) , and sister , davin ( jennifer lien ) .  the film opens with a flashback , in which derek brutally kills two black men vandalizing his car .  we find out that this lands him in prison , and the film from that point is seen through the eyes of danny .  in the present-time of the film , danny is in high school , and eager to follow the footsteps of his brother .  much of the film is told in flashback , and we see the path that leads to derek's adoption of white supremacy .  when derek is released , having served three years in prison , he finds that his brother is now a full-blown skinhead ; derek , however , has given up the violence , and tries to get his brother to understand why racism and the violence that comes with it are bad things .  what makes this all interesting is that these two young men are not stupid , thoughtless people -- they are intelligent and articulate , and voice their beliefs in disturbingly straightforward terms .  it's hard to make a controversial movie and not preach , but kaye has found the right note for his material .  because american history x is a mainstream film , there has to be a redemption phase for our main character -- some people may think that this is the only way to make him sympathetic .  i partially disagree with this , because , although i do not advocate racism in any way , it's interesting the way kaye presents derek -- he is a loud , obnoxious man , but he's also very smart .  the reasons for why he becomes a skinhead are believable -- his father was arbitrarily killed by a group of black men .  it's clear that he's passionate about his beliefs , and that he's not just a punk looking for an excuse to beat people up .  of course , it helps that kaye has an actor as talented as norton to play this part .  it's astonishing how frightening norton looks with a shaved head and a swastika on his chest .  in addition to getting the look just right , he's perfect for this role -- derek requires intelligence , depth , and a whole lot of shouting , and norton does it all with ease .  even when he's at his meanest , derek has a likable quality to him , and that's a gutsy approach when telling a story about a skinhead .  what adds depth to the story is a subplot in which the principal of danny's school ( avery brooks ) becomes obsessed with purging the hatred from danny .  the other performances are all terrific , with standouts from furlong , d'angelo , and lien .  visually , the film is very powerful .  kaye indulges in a lot of interesting artistic choices , and most of them work nicely -- lots of slow-motion and strange camera angles add to a moody atmosphere .  but , like a lot of movies lately , american history x skims past greatness in the last few minutes .  although the climactic scene is very moving , the picture ends with a pretentious , preachy resolution featuring a brief narration from a character who was killed .  for a movie so smart a subtle up until that point , it felt like a slap in the face to be hand-fed a theme in such a simplistic way .  it makes me wonder what , exactly , tony kaye disliked about the final version of his film .  perhaps this last scene was the problem .  it's hard to imagine any director not being at least partially pleased with a film this good -- in a time when so many movies are timid and weak , american history x manages to make a compelling argument for racism without advocating it any way .  	positive
pos_8	after bloody clashes and independence won , lumumba refused to pander to the belgians , who continued a condescending and paternalistic relationship with the congo .  their officers , particularly general janssens ( rudi delhem ) in the force publique , the congo's army , caused rebellions , undermining lumumba , who was outraged at the rape and murder of belgian nationals .  with unrest building , moise tshombe ( pascal nzonzi ) and the province of katanga , which contained 70 percent of the country's resources , proclaimed secession .  lumumba replaced janssens , making mobutu a colonel , and went on a pacification  tour with congolese president joseph kasa vubu ( maka kotto ) , but it was too late .  'when you want to drown a dog , you say it has rabies , ' prophesies lumumba of his own fate .  peck and bonitzer do an exemplary job telling a complicated tale with a myriad of players , although they frequently succumb to cliche , particularly regarding lumumba's private life .  peck's script illuminates bantu sayings like 'the hand that gives , rules' when lumumba uses it with the american ambassador .  peck's direction is less assured , with many scenes unfortunately playing like standard television fare .  he's served well , though , by his casting of ebouaney in the title role .  ebouaney is dynamic , radiating his character's fierce passion for his people and his country .  lumumba's intelligence and ability to strategize , even as he's cornered by insurmountable odds , are given life by ebouaney .  peck's subject and lead actor elevate his film above its mediocre production .   " lumumba " is a story that deserves to be told and ebouaney's performance makes the tragedy personally felt .  	positive
pos_12	synopsis : bobby garfield ( yelchin ) lives in a small town with his mirthless widowed mother ( hope davis ) .  bobby's world revolves around his friends , especially the spritely carol ( boorem ) .  then one day , a new boarder arrives at bobby's house .  ted brautigan ( hopkins ) is an enigmatic man to whom bobby takes an immediate liking .  as the bond between bobby and ted deepens , bobby becomes privy to ted's great secret , an event which will change both of their lives forever .  review : a small but enchanting movie , " hearts in atlantis " easily recalls another king-inspired coming-of-age film , " stand by me " , both in terms of its setting and the sentiment it conveys .   " hearts " is a tribute to the magic of childhood , to those summers when the days seem neverending , and nothing means more than your closest friends .  unlike " stand by me " , there is a supernatural element to " hearts " , but although it is key to the plot , it is not prominent .  like " stand by me " , this is a mostly character-driven film , and as such it benefits greatly from superb casting .  yelchin is very good as bobby , finding a good mix of innocence and resignation .  more splendid still is boorem , whom i praised highly for her work in " along came a spider " and who is simply radiant here as carol .  and then there is hopkins , who despite playing such a quiet , introspective character as ted , nonetheless commands our attention every time he is onscreen .  less successful is davis , whose strident elizabeth comes across as overly cartoonish .  i also found it odd that bobby and carol's other friend , sully ( whose death as an adult sets up the movie's flashback framing device ) , is paid virtually no attention .  but hicks' direction is lovely without being cloying , and despite the movie's general lack of incident , it never ceases to weave its spell over the audience .  	positive
pos_18	having not seen , " who framed roger rabbit " in over 10 years , and not remembering much besides that i liked it then , i decided to rent it recently .  watching it i was struck by just how brilliant a film it is .  aside from the fact that it's a milestone in animation in movies ( it's the first film to combine real actors and cartoon characters , have them interact , and make it convincingly real ) and a great entertainment it's also quite an effective comedy/mystery .  while the plot may be somewhat familiar the characters are original , especially baby herman , and watching them together is a lot of fun .  the story begins in hollywood in 1947 .  cartoon star roger rabbit is blowing takes and having trouble keeping his mind on work , so hard-boiled private detective eddie valiant ( bob hoskins ) is called in by studio head r . k .  maroon ( alan tilvern ) to try to help get roger's mind back on work .  maroon thinks that roger's wife , jessica's , possible unfaithfulness to him might be the cause of distraction and tells eddie to get some photos of her in the act before it costs him any more money in reshoots .  valiant takes some photos of jessica playing , `patty cake' with marvin acme ( stubby kaye ) , the owner of toontown ( where all of the cartoon characters live ) and takes them to maroon .  upon seeing them , roger is emotionally destroyed and soon after acme is found dead and roger rabbit is the prime suspect .  the rest of the movie follows valiant and roger as they run around town ( and eventually toontown ) trying to clear roger's good name .  along the way they meet judge doom ( christopher lloyd ) a judge-jury-and executioner type who's out to get roger and has discovered the one and only way to kill a `toon . '  `who framed roger rabbit' won 4 academy awards including a special achievement award for richard williams for animation direction and creation of the cartoon characters ( williams and his teams went through the film frame by frame and hand drew the cartoon characters in ) .  director robert zemekis must be given an equal amount of praise for overseeing the entire production , which included hundreds of animators .  also bob hoskins' performance should be credited .  he , in addition to the rest of the human cast , finds the right note to play in all of the scenes with his cartoon co-stars .  according to the internet movie database , hoskins studied his young daughter to learn how to act with imaginary characters and i guess his hard work paid off .  `who framed roger rabbit' is a rare film .  one that not only presented a great challenge to the filmmakers but one that can be enjoyed by the whole family ( although some very young viewers may be a little scared by judge doom ) .  do yourself a favor and rent it , `p-p-p-p-please . "  	positive
pos_20	by phil curtolo mel gibson ( braveheart ) gave a gripping performance as the father of a young kidnapped boy in ron howard's ransom .  gibson plays tom mullen , a wealthy business tycoon whose past actions are coming back to haunt him as a deranged psychopath , played by gary sinise ( forrest gump ) , and his band of low-life thugs kidnap his only son for $2 million .  tom and his wife , kate , played by rene russo ( tin cup ) were instructed not to inform the police , but they contacted the fbi .  minutes later , an elite team of agents led by delroy lindo ( broken arrow ) are in tom's house and wiring every phone .  the plot sounds average , just like most other kidnap movies that you've already seen , and it was nothing more than that .  that is until about half-way through the movie .  suddenly , tom goes to the fox 5 news room and makes a live broadcast saying , " this is your ransom .  but this is as close as you will ever get to it .  instead , i am offering this money as a reward on your head , dead or alive . "  at this point , the plot thickened , and the unusually slow start of the film turned into a suspense-filled action film with great stunts .  the last half of the film is very well done .  another thing that carries this film are the superb performances by gibson and sinise , as they collide in a game of wits over their cellular phones for most of the movie .  owen gleiberman of entertainment weekly commented on the subject : " it makes you wonder what kidnappers did before cell phones . "  before this movie , sinise played mostly " good guys , " first in of mice & men , then in forrest gump , and most recently , in apollo 13 .  but he was surprisingly devilish and cold in his portrayal of a cop-gone-bad .  gibson , of course , was just being gibson , in an oscar-worthy performance .  although most of the scenes were quite predictable , ransom is a very entertaining and suspenseful film .   ,  	positive
pos_24	call 911 for the cliche police if you must , but the eyes are the window to the soul .  the finest actors working in films are those who can command the screen with a gaze : paul newman , ralph fiennes , anthony hopkins , morgan freeman .  you look at these men on screen and you can tell without them saying a word that there is something going on in their minds , that the characters they play are real human beings .  we will never have a chance to discover if tupac shakur could have been a great actor , but he had that unique quality in his eyes .  in gridlock'd , an oddly effective combination of gritty drama and social satire , shakur and his co-star tim roth take sketchy characters and make them exciting to watch through the pure energy of their talent and chemistry .  shakur and roth play ezekiel " spoon " whitmore and alexander " stretch " rome , two detroit buddies who share a spoken word/jazz trio , an apartment and a drug addiction with cookie ( thandie newton ) .  when a new year's eve party ends with cookie comatose after a drug overdose , spoon and stretch begin to wonder if they are living on borrowed time .  they soon make a new year's resolution to get into rehab , but that proves to be easier said than done .  as though the temptation to fix were not hindrance enough , spoon and stretch also find their attempts to get clean hitting a road block of bureaucracy , confusion and red tape .  the government might be the least of their obstacles , however , as they find themselves suspects in the murder of a drug dealer , and on the run from a nasty thug ( vondie curtis hall ) .  in order for you to buy into gridlock'd at all , you have to accept it as a surreal odyssey rather than as urban realism ; unless spoon and stretch sleep through an entire day at the hospital after bringing in cookie , they are going to government offices on new year's day , in which case they should be thankful they get any help at all .  gridlock'd may actually be a response to the fatuous social commentary of another urban odyssey , 1991's falling down , which found a besieged middle class white male venting his righteous anger against the system during a trek through inner city los angeles .  in falling down , michael douglas' d-fens ( the character's personalized license plate , echoed in gridlock'd by the drug lord d-reper's plates ) whips out a gun because he can't get breakfast at mcdonald's ; in gridlock'd , spoon and stretch are unarmed against the demands placed on them before they can get into a rehab center .  and where the unhinged d-fens became a heroic surrogate for audiences , writer/director vondie curtis hall refuses to let spoon and stretch off the hook for their own part in the situation .  one bureaucrat responds to a tirade from stretch with the question , " do you expect the world to stop . . . just  because you picked _today_ to clean up ? "  the world in gridlock'd is just as frustrating as the world in falling down , but the cathartic moments yield no easy answers this time .  hall has some interesting things to say about what we expect from the system , but perhaps not enough of them .  a significant chunk of gridlock'd is devoted to spoon and stretch's flight from d-reper and from the police , and those sub-plots serve up some thoroughly predictable moments .  in one scene , stretch scares off d-reper by getting chummy with a police officer ; another presents that old chestnut of the two mistakenly-suspected heroes in a public place watching a television news report of the crime which shows their pictures .  the entire sequence of events seems designed merely as an excuse to get spoon and stretch running , while the other primary plot has them standing in line or sitting down much of the time .  hall also plays with gratuitous inserts of drug paraphernalia and flashbacks to the day before the film's main events , perhaps making a particular effort to point out the talent the characters are wasting through self-destructive behavior .  oh , the irony of it .  tupac shakur made a career in music and movies playing the hard case , and living the life to back it up .  in gridlock'd , shakur gets the chance to play someone who has seen enough of the way his life could go to know that it scares him .  spoon is an idea for a character at best as written by hall , but shakur displays an intelligence and survival instinct which struggle with his addiction .  mostly it comes through those eyes , eyes with none of the hardness you might expect from the infamous gangsta .  it is spoon who plays conscience to stretch's pure appetite , and roth plays stretch with a gleeful self-destructiveness ( he reveals that he is hiv positive even as he is preparing to shoot up again ) which is as much an obstacle to spoon's goal as any agency or enemy .  gridlock'd's most cruelly comic scene finds stretch " helping " spoon get into an emergency room by repeatedly stabbing him with a tiny pocket knife , and it becomes an appropriate symbol for how the company he keeps has slowly drained the life out of him .  with friends like that , spoon doesn't need enemies , and shakur looks at stretch with the tired eyes of a man who has seen too much .  the tragedy now is that we won't get more chances to see those eyes again .  	positive
pos_25	hilarious , ultra-low budget comedy from film school dropout kevin smith chronicles a day in the life of two convenience store slackers ( brian o'halloran and jeff anderson ) .  they spend most of their day ignoring customers while discussing everything from fellatio to self-fulfillment .  the premise is strictly sitcom and the photography is grainy as all get-out , but you could spend ten times the film's budget ( a reported $27 , 000 ) and still not get dialogue half as good as this .  originally rated nc-17 for language .  not recommended for viewers with sensitive ears .  killing zoe ===========  remake reservoir dogs as a french art film and you're halfway to killing zoe , writer/director roger avary's slow-moving story of a failed bastille day bank robbery .  eric stoltz stars as an american in paris who gets in * way * over his head when hooks up with a band of nihilistic bank robbers .  he's the safecracker who's blissful unaware that the bank job is a botch job from the word go .  though intriguing on all fronts , the film is paced at half the speed of pulp fiction , which avary co-wrote with quentin tarantino .  in english and french .  the road to wellville =====================  based on the novel by t . coraghessan boyle , the road to wellville doesn't go very far .  bowels , bowels , and more bowels are explored by dr . john harvey kellogg ( a buck-toothed and bespectacled anthony hopkins ) , who , in the early 1900's , advocated abstinence , vegetarianism , and frequent defecation .  he also invented the cornflake .  really .  checking-in to kellogg's battle creek sanitarium are matthew broderick and bridget fonda , just two of the many well-known faces in this failed comedy .  leave your laughter at the door and you can marvel at the unfunny antics of john cusack , michael lerner , lara flynn boyle , john neville , and dana carvey .  the art direction is impeccable and some of the early sequences are amusing , but the novelty quickly wears off as writer/director alan parkers tries his darnedness to turn doo-doo into drama .  what he ends up with is something that i can't print here .  phew !  stargate ========  lawrence of arabia meets star wars .  this epic sci-fi film is more sheer spectacle than anything else .  director roland emmerich ( universal solider ) shamelessly rips off lucas and spielberg and just about any other cosmic cliche that he can lay his hands on .  the film is overlong , the characters are cardboard , and the script is filled with some of the most laughable details in modern sci-fi history .  that said , there's still plenty to watch here .  sci-fi fans should enjoy the sculpted sands , the morphing headdresses , and a surprisingly spunky james spader .  he plays the egyptologist who gets to prove his theory that that " somebody else " built the pyramids .  less interesting are co-stars kurt russell and jaye davidson of crying game fame .  star trek generations =====================  trek fans may be more forgiving , but , for the rest of us , the sluggish star trek generations is a mixed bag at best .  the story is interesting , but each scene goes too long .  the cast is earnest , but the direction lacks punch .  and so on .   ( the best example of the latter is a klingon comeuppance that delivers none of the impact of a similar scene in star trek ii . )  original enterprise captain james t . kirk appears on both ends of the story , though they cut the scene where shatner turns to the screen to plead " get a life . "  remarkably unremarkable .  miracle on 34th street ======================  in a season of the specialist and pulp fiction et al , maybe a remake of miracle on 34th street * is * necessary .  john hughes certainly believes in santa claus and his les mayfield-directed production does nothing to tarnish the memory of the 1947 original .  the romance between costars dylan mcdermott and elizabeth perkins doesn't work too well , but the film makes a strong case that richard attenborough is the definitive kriss kringle .  his chemistry with children can moisten any eye .  no claus for alarm .  junior ======  arnold schwarzenegger pregnant ?  sure , billy crystal did it before in rabbit test , but the sight of schwarz with a bulging belly is a casting coup comparable to dustin hoffman in tootsie .  what should be nothing more than a one-joke premise actually gets better as it goes along .  director ivan reitman ( dave , twins ) wisely keeps the farce to a minimum , so the first hour moves slower than you might expect .  don't expect too many yuks from danny devito , but you can't beat those early romantic scenes between emma and arnie .  how's * that * for a collision of acting styles ?  	positive
pos_27	the most common ( and in many cases the only ) complaint against francis ford coppola's 1972 masterpiece the godfather is glamorising of mafia , which is presented as an institution guided by ancient tradition and virtues like honour , loyalty and solidarity more suitable for some gentler , kinder ages .  martin scorsese , another italoamerican moviemaker , confronted that perspective with his own , more down-to-earth vision of mafia in 1973 mean streets , movie that dealt with lower echelons of organised crime .  unfortunately for scorsese , his film was unspectacular and too artsy to compete with coppola's influence on mafia portrayals in the movies .  seventeen years later scorsese returned to mean streets of new york with another film that dealt with darker side of american organised crime .  this film was goodfellas , epic black comedy which is today considered as one of the best and most influential films of 1990s .  goodfellas owes some of its initial success and popularity to the fact that it was based on the true story , told in best-seller book wiseguy by nicholas pileggi ( who would co-write the screenplay for the film ) .  the book , as well as the film , chronicled thirty years in the life of henry hill ( played by ray liotta ) , irish-italian criminal from new york .  at the age of 13 he gets recruited in the criminal organisation of paulie cicero ( played by paul sorvino ) , local mob boss , and gradually climbs up the ladder starting with small errands .  after couple of years , together with his best childhood friend tommy de vito ( played by joe pesci ) , he joins the crew of expert thieves led by jimmy conway ( played by robert de niro ) .  three of them spend years as best friends and associates , gathering enormous wealth from their criminal enterprises that would culminate with one of the most spectacular robberies in american history .  wealth , influence and privileges of men connected with mafia are enough for henry hill to seduce his future wife karen ( played by lorraine bracco ) , who would afterwards remain loyal to her husband despite infidelities , domestic abuse , arrests and would even be accomplice to his own private drug dealing business .  but the perfect world of " wiseguys " gradually begins to fall apart - tommy's unpredictable outbursts of homicidal violence , jimmy's reluctance to share his part of the loot with partners and , finally , henry's own drug habit would lead to his downfall and make him question his loyalty to the friends .  goodfellas is an excellent example of a film that represents work of a film genius in his full glory .  scorsese managed to create a vision which is effective and complete despite being full of contradictions that would ripped the film apart in the hands of less talented filmmaker .  world depicted in this film is both ordinary and fascinating .  scorsese spares no effort to show us all the violence , hypocrisy and inherent paranoia of organised crime , yet it manages to make it both seductive and funny .  after being exposed to two and half hours of the film and three decades of criminal history ( based on some notorious real life events ) , the audience understands why the characters chose such dangerous life paths , trading the superficial and short-lasting glamour and prosperity of a criminal to the dullness and poverty of honest citizens .  scorsese also manages to break viewer's moralistic inhibitions by showing truly revolting material - scenes that depict personal tragedies , broken homes , human depravity , violence , bloodshed and murder - in all their uncompromising reality , but in a manner that would make it amusing and funny to the audience .  with the use of ironic soundtrack , manipulative shots , character's dialogue or narrator's commentary , goodfellas represents the new standards of black humour that would became very popular few years later during tarantino era .  even if we don't pay attention to skills with which potentially disturbing material becomes eye pleasing and entertaining , we should admit that scorsese displays his talents of truly original and creative filmmaker .  first , we might notice unusual structure of the plot - relatively minor subplot is used as movie's ironic prologue .  then , instead of single narrator , scorsese switches to the second character as narrator in the middle of the film only to switch back to the original shortly afterwards .  this multiple points of views , both in terms of narration and various subjective shots , only lengthens the ironic distance towards characters and their situation .  same ironic distance comes with extremely effective choice of soundtrack .  nostalgia for good old times is illustrated with easy-listening 1950s pop songs , while depression , paranoia and bad times find their expression in more neurotic rock songs of late 1960s and 1970s .  but the soundtrack is most effective when it is used as ironic comment - almost pastoral , easy listening tunes make strong and very ironic contrast to the scenes of violence and bloodshed .  however , thing most associated with this film is couple of continuos shots that feature characters moving through large rooms and interacting with dozens if not hundreds of people .  such scenes , although they require very great skill and patience during their shootings , became very popular among other directors in 1990s .  fragmentary character of the screenplay , which doesn't have straight plot and instead bases film on series of loosely connected vignettes , gives another interesting opportunity for scorsese .  he uses this structure of film to experiment , and most successful of such experiments is hilarious " a day in life " segment near the end of the film .  another essential element of goodfellas is large but superb collection of great acting talents .  the most respectable among them is robert de niro , but his character , who happen to be most quiet and business-like member of criminal trio , gets overshadowed by two of his friends and colleagues .  joe pesci deserved his " oscar " for supporting role of homicidal psychopath tommy , and his lines , including ad-libs , probably represent the most memorable element of the film .  ray liotta , although equally talented , perhaps doesn't look as the best choice for narrator and nominal hero of the film .  liotta's henry hill looks somewhat too hollywoodised and glamorous among this bunch of low-level street thugs .  liotta , on the other hand , improves general impression by very realistic and menacing portrayal of drug addiction .  lorraine bracco is , on the other hand , very effective and believable as karen hill , wife who gradually descends into same moral cesspool as her husband .  paul sorvino is also very effective as patriarch mafioso , and among the supporting cast most memorable is chuck low as pestering small-time gangster who unknowingly digs his own grave .  as a combination of clever sociological study , black humour and innovative filmmaking goodfellas became something only the truly great films could do - work of art and excellent popular entertainment in the same time .  because of this achievement , and also because of the great influence on future filmmakers , this cinematic gem deserves its rightful place among the best films of 1990s .  	positive
